Expected Output,Actual Output,File name,Parsed Json file
outdoors,outdoors,no5G72.aiff,no5G-cvc.json
outshine,outshine,no5G73.aiff,no5G-cvc.json
opportune,opportun,no5G70.aiff,no5G-cvc.json
dandelion,dandelion,no5G28.aiff,no5G-cvc.json
deactivate,deactivate,no5G29.aiff,no5G-cvc.json
consume,consume,no5G25.aiff,no5G-cvc.json
constellation,constellation,no5G24.aiff,no5G-cvc.json
photographic,photographic,no5G78.aiff,no5G-cvc.json
poisoner,poisoner,no5G79.aiff,no5G-cvc.json
paragraph,paragraph,no5G74.aiff,no5G-cvc.json
peninsula,peninsula,no5G77.aiff,no5G-cvc.json
pastel,pastel,no5G76.aiff,no5G-cvc.json
paranoia,paranoia,no5G75.aiff,no5G-cvc.json
optimism,optimism,no5G71.aiff,no5G-cvc.json
disagree,disagree,no5G32.aiff,no5G-cvc.json
equalizer,equalizer,no5G36.aiff,no5G-cvc.json
evaporate,evaporate,no5G37.aiff,no5G-cvc.json
earthy,earthsea,no5G35.aiff,no5G-cvc.json
discourteous,discourteous,no5G34.aiff,no5G-cvc.json
strengthen,strengthen,no5G98.aiff,no5G-cvc.json
subdivide,subdivide,no5G99.aiff,no5G-cvc.json
bikini,bikini,no5G16.aiff,no5G-cvc.json
bazooka,bazooka,no5G15.aiff,no5G-cvc.json
feminine,feminine,no5G39.aiff,no5G-cvc.json
exterior,exterior,no5G38.aiff,no5G-cvc.json
detrimental,detrimental,no5G30.aiff,no5G-cvc.json
disapproval,dissaproval,no5G33.aiff,no5G-cvc.json
diabetes,diabetes,no5G31.aiff,no5G-cvc.json
cafÂŽ,cafe,no5G18.aiff,no5G-cvc.json
armadillo,armadillo,no5G11.aiff,no5G-cvc.json
athletic,athletic,no5G12.aiff,no5G-cvc.json
axle,axle,no5G13.aiff,no5G-cvc.json
aquarium,aquarium,no5G10.aiff,no5G-cvc.json
bassinet,bassinet,no5G14.aiff,no5G-cvc.json
bombard,bombard,no5G17.aiff,no5G-cvc.json
sterile,sterile,no5G97.aiff,no5G-cvc.json
sarcastic,sarcastic,no5G94.aiff,no5G-cvc.json
serenade,serenade,no5G95.aiff,no5G-cvc.json
spider,spider,no5G96.aiff,no5G-cvc.json
salamander,salamander,no5G93.aiff,no5G-cvc.json
rodeo,rodeo,no5G92.aiff,no5G-cvc.json
robin,robin,no5G91.aiff,no5G-cvc.json
feminism,feminism,no5G40.aiff,no5G-cvc.json
forecast,forecast,no5G41.aiff,no5G-cvc.json
functionary,functionary,no5G42.aiff,no5G-cvc.json
gallop,gallop,no5G43.aiff,no5G-cvc.json
superhighway,super highway,no5G100.aiff,no5G-cvc.json
tangerine,tangerine,no5G102.aiff,no5G-cvc.json
teamster,teamster,no5G103.aiff,no5G-cvc.json
recording,recording,no5G90.aiff,no5G-cvc.json
helicopter,helicopter,no5G48.aiff,no5G-cvc.json
hurricane,hurricane,no5G49.aiff,no5G-cvc.json
guitar,guitar,no5G46.aiff,no5G-cvc.json
generalize,general lies,no5G44.aiff,no5G-cvc.json
happily,happily,no5G47.aiff,no5G-cvc.json
giant,giant,no5G45.aiff,no5G-cvc.json
sweeten,sweden,no5G101.aiff,no5G-cvc.json
unclean,unclean,no5G109.aiff,no5G-cvc.json
unbroken,unbroken,no5G108.aiff,no5G-cvc.json
tomato,tomato,no5G105.aiff,no5G-cvc.json
unadvised,on advised,no5G107.aiff,no5G-cvc.json
trombone,trombone,no5G106.aiff,no5G-cvc.json
tiger,tiger,no5G104.aiff,no5G-cvc.json
readable,readable,no5G89.aiff,no5G-cvc.json
qualify,qualify,no5G88.aiff,no5G-cvc.json
porcupine,porcupine,no5G81.aiff,no5G-cvc.json
porcelain,porcelain,no5G80.aiff,no5G-cvc.json
potassium,potassium,no5G82.aiff,no5G-cvc.json
precipitate,precipitate,no5G83.aiff,no5G-cvc.json
procrastinate,procrastinate,no5G86.aiff,no5G-cvc.json
preferably,preferably,no5G84.aiff,no5G-cvc.json
proclaim,proclaim,no5G85.aiff,no5G-cvc.json
prolong,prolong,no5G87.aiff,no5G-cvc.json
obsession,obsession,no5G68.aiff,no5G-cvc.json
obtain,obtain,no5G69.aiff,no5G-cvc.json
manufacture,manufacture,no5G60.aiff,no5G-cvc.json
mighty,mighty,no5G63.aiff,no5G-cvc.json
coyote,coyote,no5G27.aiff,no5G-cvc.json
clarinet,clarinet,no5G23.aiff,no5G-cvc.json
cemetery,cemetery,no5G21.aiff,no5G-cvc.json
cauliflower,cauliflower,no5G20.aiff,no5G-cvc.json
circumstance,circumstance,no5G22.aiff,no5G-cvc.json
caterpillar,caterpillar,no5G19.aiff,no5G-cvc.json
martini,martini,no5G61.aiff,no5G-cvc.json
mascara,mascara,no5G62.aiff,no5G-cvc.json
museum,museum,no5G65.aiff,no5G-cvc.json
obedient,obedient,no5G67.aiff,no5G-cvc.json
mispronounce,miss pronounce,no5G64.aiff,no5G-cvc.json
nectarine,nectarine,no5G66.aiff,no5G-cvc.json
accelerate,accelerate,no5G2.aiff,no5G-multi.json
amphibian,amphibian,no5G8.aiff,no5G-multi.json
anonymous,anonymous,no5G9.aiff,no5G-multi.json
alligator,alligator,no5G7.aiff,no5G-multi.json
alibi,alibi,no5G5.aiff,no5G-multi.json
alien,alien,no5G6.aiff,no5G-multi.json
adapt,adapt,no5G4.aiff,no5G-multi.json
absent,absent,no5G0.aiff,no5G-multi.json
incoherent,incoherent,no5G50.aiff,no5G-multi.json
malfunction,malfunction,no5G59.aiff,no5G-multi.json
macaroni,macaroni,no5G58.aiff,no5G-multi.json
liberator,liberator,no5G57.aiff,no5G-multi.json
kangeroo,kangaroo,no5G54.aiff,no5G-multi.json
kazoo,kazoo,no5G55.aiff,no5G-multi.json
lemonade,lemonade,no5G56.aiff,no5G-multi.json
outdoors,outdoors,no5G72.aiff,no5G-multi.json
outshine,outshine,no5G73.aiff,no5G-multi.json
opportune,opportun,no5G70.aiff,no5G-multi.json
dandelion,dandelion,no5G28.aiff,no5G-multi.json
deactivate,deactivate,no5G29.aiff,no5G-multi.json
consume,consume,no5G25.aiff,no5G-multi.json
constellation,constellation,no5G24.aiff,no5G-multi.json
coronation,coronation,no5G26.aiff,no5G-multi.json
photographic,photographic,no5G78.aiff,no5G-multi.json
poisoner,poisoner,no5G79.aiff,no5G-multi.json
paragraph,paragraph,no5G74.aiff,no5G-multi.json
peninsula,peninsula,no5G77.aiff,no5G-multi.json
pastel,pastel,no5G76.aiff,no5G-multi.json
paranoia,paranoia,no5G75.aiff,no5G-multi.json
optimism,optimism,no5G71.aiff,no5G-multi.json
cafÂŽ,cafe,no5G18.aiff,no5G-multi.json
armadillo,armadillo,no5G11.aiff,no5G-multi.json
athletic,athletic,no5G12.aiff,no5G-multi.json
axle,axle,no5G13.aiff,no5G-multi.json
aquarium,aquarium,no5G10.aiff,no5G-multi.json
bassinet,bassinet,no5G14.aiff,no5G-multi.json
bombard,bombard,no5G17.aiff,no5G-multi.json
bikini,bikini,no5G16.aiff,no5G-multi.json
bazooka,bazooka,no5G15.aiff,no5G-multi.json
feminine,feminine,no5G39.aiff,no5G-multi.json
exterior,exterior,no5G38.aiff,no5G-multi.json
detrimental,detrimental,no5G30.aiff,no5G-multi.json
disapproval,dissaproval,no5G33.aiff,no5G-multi.json
diabetes,diabetes,no5G31.aiff,no5G-multi.json
disagree,disagree,no5G32.aiff,no5G-multi.json
equalizer,equalizer,no5G36.aiff,no5G-multi.json
evaporate,evaporate,no5G37.aiff,no5G-multi.json
earthy,earthsea,no5G35.aiff,no5G-multi.json
discourteous,discourteous,no5G34.aiff,no5G-multi.json
strengthen,strengthen,no5G98.aiff,no5G-multi.json
subdivide,subdivide,no5G99.aiff,no5G-multi.json
recording,recording,no5G90.aiff,no5G-multi.json
helicopter,helicopter,no5G48.aiff,no5G-multi.json
hurricane,hurricane,no5G49.aiff,no5G-multi.json
guitar,guitar,no5G46.aiff,no5G-multi.json
generalize,general lies,no5G44.aiff,no5G-multi.json
happily,happily,no5G47.aiff,no5G-multi.json
giant,giant,no5G45.aiff,no5G-multi.json
feminism,feminism,no5G40.aiff,no5G-multi.json
forecast,forecast,no5G41.aiff,no5G-multi.json
functionary,functionary,no5G42.aiff,no5G-multi.json
gallop,gallop,no5G43.aiff,no5G-multi.json
superhighway,super highway,no5G100.aiff,no5G-multi.json
tangerine,tangerine,no5G102.aiff,no5G-multi.json
teamster,teamster,no5G103.aiff,no5G-multi.json
sterile,sterile,no5G97.aiff,no5G-multi.json
sarcastic,sarcastic,no5G94.aiff,no5G-multi.json
serenade,serenade,no5G95.aiff,no5G-multi.json
spider,spider,no5G96.aiff,no5G-multi.json
salamander,salamander,no5G93.aiff,no5G-multi.json
rodeo,rodeo,no5G92.aiff,no5G-multi.json
robin,robin,no5G91.aiff,no5G-multi.json
preferably,preferably,no5G84.aiff,no5G-multi.json
proclaim,proclaim,no5G85.aiff,no5G-multi.json
prolong,prolong,no5G87.aiff,no5G-multi.json
obsession,obsession,no5G68.aiff,no5G-multi.json
obtain,obtain,no5G69.aiff,no5G-multi.json
manufacture,manufacture,no5G60.aiff,no5G-multi.json
mighty,mighty,no5G63.aiff,no5G-multi.json
sweeten,sweden,no5G101.aiff,no5G-multi.json
unclean,unclean,no5G109.aiff,no5G-multi.json
unbroken,unbroken,no5G108.aiff,no5G-multi.json
tomato,tomato,no5G105.aiff,no5G-multi.json
unadvised,on advised,no5G107.aiff,no5G-multi.json
trombone,trombone,no5G106.aiff,no5G-multi.json
tiger,tiger,no5G104.aiff,no5G-multi.json
readable,readable,no5G89.aiff,no5G-multi.json
qualify,qualify,no5G88.aiff,no5G-multi.json
porcupine,porcupine,no5G81.aiff,no5G-multi.json
porcelain,porcelain,no5G80.aiff,no5G-multi.json
potassium,potassium,no5G82.aiff,no5G-multi.json
precipitate,precipitate,no5G83.aiff,no5G-multi.json
procrastinate,procrastinate,no5G86.aiff,no5G-multi.json
absentee,absentee,no5G1.aiff,no5G-multi.json
accuser,accuser,no5G3.aiff,no5G-multi.json
victorious,victorious,no5G111.aiff,no5G-multi.json
underrate,underweight,no5G110.aiff,no5G-multi.json
influenza,influenza,no5G51.aiff,no5G-multi.json
iodine,iodine,no5G53.aiff,no5G-multi.json
martini,martini,no5G61.aiff,no5G-multi.json
mascara,mascara,no5G62.aiff,no5G-multi.json
museum,museum,no5G65.aiff,no5G-multi.json
obedient,obedient,no5G67.aiff,no5G-multi.json
mispronounce,miss pronounce,no5G64.aiff,no5G-multi.json
nectarine,nectarine,no5G66.aiff,no5G-multi.json
coyote,coyote,no5G27.aiff,no5G-multi.json
clarinet,clarinet,no5G23.aiff,no5G-multi.json
cemetery,cemetery,no5G21.aiff,no5G-multi.json
cauliflower,cauliflower,no5G20.aiff,no5G-multi.json
circumstance,circumstance,no5G22.aiff,no5G-multi.json
caterpillar,caterpillar,no5G19.aiff,no5G-multi.json
dandelion,dandelion,no9G28.aiff,no9G-multi.json
deactivate,deactivate,no9G29.aiff,no9G-multi.json
constellation,cancellation,no9G24.aiff,no9G-multi.json
coyote,coyote,no9G27.aiff,no9G-multi.json
consume,consume,no9G25.aiff,no9G-multi.json
coronation,current coronation,no9G26.aiff,no9G-multi.json
cauliflower,cauliflower,no9G20.aiff,no9G-multi.json
cemetery,cemetery,no9G21.aiff,no9G-multi.json
clarinet,clarinet,no9G23.aiff,no9G-multi.json
obsession,obsession,no9G68.aiff,no9G-multi.json
manufacture,manufacture,no9G60.aiff,no9G-multi.json
mascara,mascara,no9G62.aiff,no9G-multi.json
martini,martini,no9G61.aiff,no9G-multi.json
mighty,mighty,no9G63.aiff,no9G-multi.json
nectarine,nectarine,no9G66.aiff,no9G-multi.json
obedient,obedient,no9G67.aiff,no9G-multi.json
museum,museum,no9G65.aiff,no9G-multi.json
mispronounce,miss pronounce,no9G64.aiff,no9G-multi.json
qualify,qualify,no9G88.aiff,no9G-multi.json
readable,readable,no9G89.aiff,no9G-multi.json
prolong,null,no9G87.aiff,no9G-multi.json
procrastinate,procrastinate,no9G86.aiff,no9G-multi.json
preferably,preferribly,no9G84.aiff,no9G-multi.json
discourteous,discourteous,no9G34.aiff,no9G-multi.json
earthy,earthy,no9G35.aiff,no9G-multi.json
equalizer,equalizer,no9G36.aiff,no9G-multi.json
evaporate,evaporate,no9G37.aiff,no9G-multi.json
detrimental,detrimental,no9G30.aiff,no9G-multi.json
disagree,disagree,no9G32.aiff,no9G-multi.json
disapproval,dissaproval,no9G33.aiff,no9G-multi.json
diabetes,diabetes,no9G31.aiff,no9G-multi.json
cafÂŽ,cafe,no9G18.aiff,no9G-multi.json
caterpillar,caterpillar,no9G19.aiff,no9G-multi.json
armadillo,armadillo,no9G11.aiff,no9G-multi.json
aquarium,aquarium,no9G10.aiff,no9G-multi.json
axle,astro,no9G13.aiff,no9G-multi.json
athletic,aquatic,no9G12.aiff,no9G-multi.json
alligator,alligator,no9G7.aiff,no9G-multi.json
alibi,alibi,no9G5.aiff,no9G-multi.json
alien,alien,no9G6.aiff,no9G-multi.json
accelerate,accelerate,no9G2.aiff,no9G-multi.json
accuser,accuser,no9G3.aiff,no9G-multi.json
absentee,epson t.,no9G1.aiff,no9G-multi.json
absent,epson,no9G0.aiff,no9G-multi.json
forecast,forecast,no9G41.aiff,no9G-multi.json
gallop,gallop,no9G43.aiff,no9G-multi.json
giant,giant,no9G45.aiff,no9G-multi.json
guitar,guitar,no9G46.aiff,no9G-multi.json
happily,happily,no9G47.aiff,no9G-multi.json
generalize,general eyes,no9G44.aiff,no9G-multi.json
obtain,obtain,no9G69.aiff,no9G-multi.json
trombone,trombone,no9G1106.aiff,no9G-multi.json
optimism,optimism,no9G1071.aiff,no9G-multi.json
victorious,victorious,no9G111.aiff,no9G-multi.json
underrate,under 8,no9G110.aiff,no9G-multi.json
coronation,carnation,no9G1026.aiff,no9G-multi.json
malfunction,malfunction,no9G59.aiff,no9G-multi.json
macaroni,macaroni,no9G58.aiff,no9G-multi.json
kazoo,kazoo,no9G55.aiff,no9G-multi.json
subdivide,subdivide,no9G99.aiff,no9G-multi.json
strengthen,strengthen,no9G98.aiff,no9G-multi.json
sterile,sterile,no9G97.aiff,no9G-multi.json
sarcastic,sarcastic,no9G94.aiff,no9G-multi.json
serenade,serenade,no9G95.aiff,no9G-multi.json
spider,spider,no9G96.aiff,no9G-multi.json
recording,recording,no9G90.aiff,no9G-multi.json
robin,robin,no9G91.aiff,no9G-multi.json
salamander,fandor,no9G93.aiff,no9G-multi.json
rodeo,rodeo,no9G92.aiff,no9G-multi.json
paranoia,paranoia,no9G75.aiff,no9G-multi.json
paragraph,paragraph,no9G74.aiff,no9G-multi.json
peninsula,peninsula,no9G77.aiff,no9G-multi.json
proclaim,proclaim,no9G85.aiff,no9G-multi.json
porcelain,1st 1,no9G80.aiff,no9G-multi.json
potassium,potassium,no9G82.aiff,no9G-multi.json
porcupine,porcupine,no9G81.aiff,no9G-multi.json
precipitate,precipitate,no9G83.aiff,no9G-multi.json
exterior,exterior,no9G38.aiff,no9G-multi.json
advised,advised,no9G107.aiff,no9G-multi.json
tiger,tiger,no9G104.aiff,no9G-multi.json
trombone,trombone,no9G106.aiff,no9G-multi.json
unbroken,unbroken,no9G108.aiff,no9G-multi.json
unclean,unclean,no9G109.aiff,no9G-multi.json
superhighway,super highway,no9G100.aiff,no9G-multi.json
tangerine,tangerine,no9G102.aiff,no9G-multi.json
teamster,keemstar,no9G103.aiff,no9G-multi.json
bazooka,bazooka,no9G15.aiff,no9G-multi.json
bombard,bombard,no9G17.aiff,no9G-multi.json
bikini,bikini,no9G16.aiff,no9G-multi.json
bassinet,bassinet,no9G14.aiff,no9G-multi.json
amphibian,amphibian,no9G8.aiff,no9G-multi.json
anonymous,anonymous,no9G9.aiff,no9G-multi.json
adapt,adapt,no9G4.aiff,no9G-multi.json
sweeten,sweden,no9G101.aiff,no9G-multi.json
tomato,tomato,no9G105.aiff,no9G-multi.json
circumstance,circumstance,no9G22.aiff,no9G-multi.json
hurricane,hurricane,no9G49.aiff,no9G-multi.json
helicopter,helicopter,no9G48.aiff,no9G-multi.json
feminism,feminism,no9G40.aiff,no9G-multi.json
functionary,functionary,no9G42.aiff,no9G-multi.json
insulate,insulin,no9G52.aiff,no9G-multi.json
incoherent,incoherent,no9G50.aiff,no9G-multi.json
influenza,influenza,no9G51.aiff,no9G-multi.json
iodine,iodine,no9G53.aiff,no9G-multi.json
liberator,weber heater,no9G57.aiff,no9G-multi.json
kangeroo,kangaroo,no9G54.aiff,no9G-multi.json
lemonade,lemonade,no9G56.aiff,no9G-multi.json
pastel,pastel,no9G76.aiff,no9G-multi.json
opportune,opportun,no9G70.aiff,no9G-multi.json
optimism,optimism,no9G71.aiff,no9G-multi.json
outshine,outshine,no9G73.aiff,no9G-multi.json
outdoors,outdoors,no9G72.aiff,no9G-multi.json
poisoner,poisoner,no9G79.aiff,no9G-multi.json
photographic,photographic,no9G78.aiff,no9G-multi.json
feminine,feminine,no9G39.aiff,no9G-multi.json
